txn_id,txn_datetime,account_no,branch,txn_type,amount,status,error_code
100000,2024-12-24 16:38:00,20035,Delhi,NEFT,428.37,FAILED,TIMEOUT
100001,2024-10-11 23:15:00,20092,Chennai,NEFT,1974.37,SUCCESS,
100002,2024-10-01 14:20:00,20075,Bengaluru,IMPS,7766.86,SUCCESS,
100003,2024-12-12 00:14:00,20013,Hyderabad,NEFT,1248.75,SUCCESS,
100004,2024-12-28 23:06:00,20053,Mumbai,NEFT,3401.99,SUCCESS,
100005,2024-12-23 05:59:00,20084,Hyderabad,CASH,1417.68,SUCCESS,
100006,2024-12-16 13:48:00,20085,Mumbai,NETBANKING,1369.72,SUCCESS,
100007,2024-11-23 08:20:00,20020,Mumbai,IMPS,5330.66,SUCCESS,
100008,2024-11-08 02:46:00,20049,Chennai,RTGS,4413.93,SUCCESS,
100009,2024-10-05 08:25:00,20093,Mumbai,NEFT,3081.69,SUCCESS,
100010,2024-11-27 05:06:00,20038,Hyderabad,IMPS,702.68,SUCCESS,
100011,2024-12-29 00:54:00,20019,Chennai,IMPS,1574.95,SUCCESS,
100012,2024-10-26 19:54:00,20087,Mumbai,NEFT,506.94,SUCCESS,
100013,2024-11-30 18:18:00,20086,Bengaluru,RTGS,1173.67,SUCCESS,
100014,2024-12-18 06:47:00,20006,Hyderabad,NETBANKING,1324.12,SUCCESS,
100015,2024-12-27 17:24:00,20008,Mumbai,NETBANKING,3563.3,SUCCESS,
100016,2024-10-31 15:31:00,20000,Mumbai,IMPS,4527.27,SUCCESS,
100017,2024-11-11 20:23:00,20025,Chennai,IMPS,1070.99,SUCCESS,
100018,2024-10-12 03:03:00,20037,Mumbai,IMPS,35.73,SUCCESS,
100019,2024-10-29 12:50:00,20037,Chennai,NETBANKING,3957.73,SUCCESS,
100020,2024-11-16 16:21:00,20060,Delhi,NEFT,383.0,SUCCESS,
100021,2024-11-15 00:20:00,20043,Mumbai,CASH,1945.1,SUCCESS,
100022,2024-10-01 12:49:00,20085,Hyderabad,IMPS,50.58,SUCCESS,
100023,2024-11-11 11:35:00,20043,Hyderabad,NETBANKING,1020.01,SUCCESS,
100024,2024-11-13 17:15:00,20073,Mumbai,NEFT,8531.73,SUCCESS,
100025,2024-11-15 02:05:00,20061,Delhi,IMPS,212.26,SUCCESS,
100026,2024-12-24 11:17:00,20005,Bengaluru,NEFT,1102.23,SUCCESS,
100027,2024-11-17 04:49:00,20016,Chennai,NETBANKING,733.88,SUCCESS,
100028,2024-10-04 16:31:00,20050,Bengaluru,IMPS,4709.61,SUCCESS,
100029,2024-12-11 18:35:00,20037,Hyderabad,IMPS,4070.32,SUCCESS,
100030,2024-12-12 17:24:00,20023,Mumbai,IMPS,542.83,SUCCESS,
100031,2024-11-27 17:04:00,20050,Bengaluru,RTGS,169.35,SUCCESS,
100032,2024-11-07 07:07:00,20009,Mumbai,NETBANKING,1973.1,SUCCESS,
